ModemManager	ModemManager
NetworkManager	NetworkManager
NetworkManager-adsl	NetworkManager
NetworkManager-bluetooth	NetworkManager
NetworkManager-config-connectivity-fedora	NetworkManager
NetworkManager-ppp	NetworkManager
NetworkManager-wifi	NetworkManager
NetworkManager-wwan	NetworkManager
PackageKit-command-not-found	PackageKit
PackageKit-gstreamer-plugin	PackageKit
abrt-cli	abrt
acl	acl
adwaita-gtk2-theme	gnome-themes-extra
akonadi-server	akonadi-server
akonadi-server-mysql	akonadi-server
akregator	akregator
alsa-sof-firmware	alsa-sof-firmware
alsa-ucm	alsa-lib
alsa-utils	alsa-utils
amd-gpu-firmware	linux-firmware
amd-ucode-firmware	linux-firmware
ark	ark
at	at
at-spi2-atk	at-spi2-core
at-spi2-core	at-spi2-core
atheros-firmware	linux-firmware
attr	attr
audiocd-kio	audiocd-kio
audit	audit
b43-fwcutter	b43-fwcutter
b43-openfwwf	b43-openfwwf
bash	bash
bash-color-prompt	shell-color-prompt
bash-completion	bash-completion
bc	bc
bind-utils	bind
bluedevil	bluedevil
bluez-cups	bluez
brcmfmac-firmware	linux-firmware
breeze-icon-theme	kf6-breeze-icons
brltty	brltty
btrfs-progs	btrfs-progs
bzip2	bzip2
cifs-utils	cifs-utils
cirrus-audio-firmware	linux-firmware
colord	colord
colord-kde	colord-kde
compsize	compsize
coreutils	coreutils
cpio	cpio
crontabs	crontabs
cryptsetup	cryptsetup
cups	cups
cups-browsed	cups-browsed
cups-filters	cups-filters
cups-pk-helper	cups-pk-helper
curl	curl
cyrus-sasl-plain	cyrus-sasl
dbus	dbus
default-editor	nano
default-fonts-cjk-mono	langpacks
default-fonts-cjk-sans	langpacks
default-fonts-cjk-serif	langpacks
default-fonts-core-emoji	langpacks
default-fonts-core-math	langpacks
default-fonts-core-mono	langpacks
default-fonts-core-sans	langpacks
default-fonts-core-serif	langpacks
default-fonts-other-mono	langpacks
default-fonts-other-sans	langpacks
default-fonts-other-serif	langpacks
deltarpm	deltarpm
dhcp-client	dhcp
dnf5	dnf5
dnf5-plugins	dnf5
dnsmasq	dnsmasq
dolphin	dolphin
dos2unix	dos2unix
dosfstools	dosfstools
dracut-config-rescue	dracut
dragon	dragon
e2fsprogs	e2fsprogs
ed	ed
elisa-player	elisa-player
ethtool	ethtool
exfatprogs	exfatprogs
fedora-bookmarks	fedora-bookmarks
ffmpegthumbs	ffmpegthumbs
file	file
filelight	filelight
filesystem	filesystem
firefox	firefox
firewall-config	firewalld
firewalld	firewalld
flatpak-kcm	flatpak-kcm
fpaste	fpaste
fprintd-pam	fprintd
fuse	fuse
fwupd	fwupd
ghostscript	ghostscript
glibc	glibc
glibc-all-langpacks	glibc
gnupg2	gnupg2
gstreamer1-plugin-dav1d	rust-gst-plugin-dav1d
gstreamer1-plugin-libav	gstreamer1-plugin-libav
gstreamer1-plugin-openh264	gstreamer1-plugins-bad-free
gstreamer1-plugins-bad-free	gstreamer1-plugins-bad-free
gstreamer1-plugins-good	gstreamer1-plugins-good
gstreamer1-plugins-ugly-free	gstreamer1-plugins-ugly-free
gutenprint	gutenprint
gutenprint-cups	gutenprint
gwenview	gwenview
hostname	hostname
hplip	hplip
hunspell	hunspell
hyperv-daemons	hyperv-daemons
ibus-anthy	ibus-anthy
ibus-chewing	ibus-chewing
ibus-hangul	ibus-hangul
ibus-libpinyin	ibus-libpinyin
ibus-m17n	ibus-m17n
ibus-table-chinese-cangjie	ibus-table-chinese
ibus-typing-booster	ibus-typing-booster
im-chooser	im-chooser
imsettings	imsettings
imsettings-gsettings	imsettings
initial-setup-gui	initial-setup
initial-setup-gui-wayland-plasma	kde-settings
intel-audio-firmware	linux-firmware
intel-gpu-firmware	linux-firmware
intel-vsc-firmware	linux-firmware
iproute	iproute
iptables-nft	iptables
iptstate	iptstate
iputils	iputils
irqbalance	irqbalance
iwlegacy-firmware	linux-firmware
iwlwifi-dvm-firmware	linux-firmware
iwlwifi-mvm-firmware	linux-firmware
kaccounts-integration-qt6	kaccounts-integration
kaccounts-providers	kaccounts-providers
kaddressbook	kaddressbook
kamera	kamera
kamoso	kamoso
kbd	kbd
kcalc	kcalc
kcharselect	kcharselect
kde-connect	kde-connect
kde-gtk-config	kde-gtk-config
kde-inotify-survey	kde-inotify-survey
kde-l10n	kde-l10n
kde-partitionmanager	kde-partitionmanager
kde-settings-pulseaudio	kde-settings
kdebugsettings	kdebugsettings
kdegraphics-thumbnailers	kdegraphics-thumbnailers
kdenetwork-filesharing	kdenetwork-filesharing
kdeplasma-addons	kdeplasma-addons
kdialog	kdialog
kdnssd	kdnssd
keditbookmarks	keditbookmarks
kf6-baloo-file	kf6-baloo
kfind	kfind
kgpg	kgpg
khelpcenter	khelpcenter
kinfocenter	kinfocenter
kio-admin	kio-admin
kio-gdrive	kio-gdrive
kjournald	kjournald
kmahjongg	kmahjongg
kmail	kmail
kmenuedit	kmenuedit
kmines	kmines
kmouth	kmouth
kolourpaint	kolourpaint
konsole	konsole
kontact	kontact
korganizer	korganizer
kpat	kpat
krdc	krdc
krdp	krdp
krfb	krfb
kscreen	kscreen
kscreenlocker	kscreenlocker
ksshaskpass	ksshaskpass
kwalletmanager5	kwalletmanager5
kwebkitpart	kwebkitpart
kwin	kwin
kwrite	kate
less	less
libappindicator-gtk3	libappindicator
libertas-firmware	linux-firmware
libglvnd-gles	libglvnd
libreoffice-calc	libreoffice
libreoffice-draw	libreoffice
libreoffice-emailmerge	libreoffice
libreoffice-graphicfilter	libreoffice
libreoffice-impress	libreoffice
libreoffice-math	libreoffice
libreoffice-writer	libreoffice
libva-intel-media-driver	intel-media-driver-free
logrotate	logrotate
lrzsz	lrzsz
lsof	lsof
mailcap	mailcap
man-db	man-db
man-pages	man-pages
mcelog	mcelog
mdadm	mdadm
mediawriter	mediawriter
mesa-dri-drivers	mesa
mesa-vulkan-drivers	mesa
microcode_ctl	microcode_ctl
minicom	minicom
mpage	mpage
mt7xxx-firmware	linux-firmware
mtr	mtr
ncurses	ncurses
neochat	neochat
net-tools	net-tools
nfs-utils	nfs-utils
nmap-ncat	nmap
nss-mdns	nss-mdns
ntfs-3g	ntfs-3g
ntfsprogs	ntfs-3g
nvidia-gpu-firmware	linux-firmware
nxpwireless-firmware	linux-firmware
okular	okular
open-vm-tools-desktop	open-vm-tools
opensc	opensc
openssh-clients	openssh
openssh-server	openssh
orca	orca
pam-kwallet	pam-kwallet
paps	paps
parted	parted
passwdqc	passwdqc
pciutils	pciutils
phonon-qt6-backend-vlc	phonon-backend-vlc
pinentry-qt	pinentry
pinfo	pinfo
pipewire-alsa	pipewire
pipewire-config-raop	pipewire
pipewire-gstreamer	pipewire
pipewire-pulseaudio	pipewire
pipewire-utils	pipewire
plasma-breeze	plasma-breeze
plasma-desktop	plasma-desktop
plasma-desktop-doc	plasma-desktop
plasma-discover	plasma-discover
plasma-discover-notifier	plasma-discover
plasma-disks	plasma-disks
plasma-drkonqi	plasma-drkonqi
plasma-nm	plasma-nm
plasma-nm-l2tp	plasma-nm
plasma-nm-openconnect	plasma-nm
plasma-nm-openswan	plasma-nm
plasma-nm-openvpn	plasma-nm
plasma-nm-pptp	plasma-nm
plasma-nm-vpnc	plasma-nm
plasma-pa	plasma-pa
plasma-print-manager	plasma-print-manager
plasma-systemmonitor	plasma-systemmonitor
plasma-thunderbolt	plasma-thunderbolt
plasma-vault	plasma-vault
plasma-welcome	plasma-welcome
plasma-welcome-fedora	plasma-welcome-fedora
plasma-workspace	plasma-workspace
plasma-workspace-wallpapers	plasma-workspace-wallpapers
plocate	plocate
plymouth	plymouth
plymouth-system-theme	plymouth
policycoreutils	policycoreutils
polkit-kde	polkit-kde
ppp	ppp
prefixdevname	rust-prefixdevname
procps-ng	procps-ng
psacct	psacct
qemu-guest-agent	qemu
qrca	qrca
quota	quota
realmd	realmd
realtek-firmware	linux-firmware
rootfiles	rootfiles
rpm	rpm
rsync	rsync
rsyslog	rsyslog
samba-client	samba
samba-usershares	samba
sddm	sddm
sddm-breeze	plasma-desktop
sddm-kcm	sddm-kcm
sddm-wayland-plasma	plasma-workspace
selinux-policy-targeted	selinux-policy
setup	setup
shadow-utils	shadow-utils
signon-kwallet-extension	signon-kwallet-extension
skanpage	skanpage
smartmontools	smartmontools
sos	sos
spectacle	spectacle
speech-dispatcher	speech-dispatcher
spice-vdagent	spice-vdagent
spice-webdavd	phodav
sssd-common	sssd
sssd-kcm	sssd
sssd-proxy	sssd
sudo	sudo
symlinks	symlinks
system-config-printer-udev	system-config-printer
systemd	systemd
systemd-oomd-defaults	systemd
systemd-resolved	systemd
systemd-udev	systemd
tar	tar
tcpdump	tcpdump
time	time
tiwilink-firmware	linux-firmware
toolbox	toolbox
traceroute	traceroute
tree	tree-pkg
udisks2	udisks2
unzip	unzip
usb_modeswitch	usb_modeswitch
usbutils	usbutils
util-linux	util-linux
vim-minimal	vim
virtualbox-guest-additions	virtualbox-guest-additions
vlc-plugin-gstreamer	vlc
wget2-wget	wget2
which	which
whois	whois
wireplumber	wireplumber
words	words
wpa_supplicant	wpa_supplicant
xwaylandvideobridge	xwaylandvideobridge
zip	zip
zram-generator-defaults	rust-zram-generator
